doc_name,doc_data
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin à des fonctions au ministère du commerce.,2019-12-10
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions du directeur de la prévention et de la lutte contre les maladies transmissibles au ministère de la santé, de la population et de la réforme hospitalière.",2019-12-10
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions du directeur de la régulation de l'emploi au ministère du travail, de l'emploi et de la sécurité sociale.",2019-12-10
DÉCRET PRÉSIDENTIEL du 27 Rabie Ethani 1441 — portant nomination du directeur général du protocole à la Présidence de la République.,2019-12-24
DÉCRET PRÉSIDENTIEL du 27 Rabie Ethani 1441 — portant nomination d'un chargé de mission à la Présidence de la République.,2019-12-24
DÉCRET PRÉSIDENTIEL du 29 Rabie Ethani 1441 — portant nomination de chargés de mission à la Présidence de la République.,2019-12-26
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions du directeur général de l'organisme de prévention des risques professionnels dans les activités du bâtiment, des travaux publics et de l'hydraulique.",2019-12-10
DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — portant nomination du directeur de cabinet du Premier ministre.,2019-12-29
DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — portant nomination du chef de cabinet du Premier ministre.,2019-12-29
DÉCRETS PRÉSIDENTIELS du 13 Rabie Ethani 1441 — portant nomination à la direction générale de la protection civile.,2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination de sous-directeurs au ministère des moudjahidine.,2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination du directeur du musée régional du moudjahid à Biskra.,2019-12-10
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination de directeurs de la poste, des télécommunications, des technologies et du numérique de wilayas.",2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination d'un sous-directeur au ministère de la jeunesse et des sports.,2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination de directeurs de l'action sociale et de la solidarité aux wilayas.,2019-12-10
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination du directeur délégué à l'action sociale à la circonscription administrative de In Guezzam, wilaya de Tamenghasset.",2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — portant nomination du directeur du centre national de formation des personnels spécialisés des établissements pour handicapés à Constantine.,2019-12-10
